Id,Label
6001,3
6002,0
6003,8
6004,2
6005,5
6006,3
6007,0
6008,8
6009,7
6010,7
6011,0
6012,8
6013,4
6014,0
6015,8
6016,8
6017,7
6018,9
6019,4
6020,8
6021,8
6022,5
6023,9
6024,5
6025,2
6026,7
6027,3
6028,9
6029,4
6030,0
6031,7
6032,6
6033,0
6034,5
6035,5
6036,0
6037,5
6038,2
6039,5
6040,0
6041,6
6042,5
6043,9
6044,3
6045,6
6046,0
6047,4
6048,8
6049,0
6050,1
6051,9
6052,7
6053,9
6054,3
6055,1
6056,0
6057,4
6058,0
6059,7
6060,1
6061,5
6062,3
6063,2
6064,9
6065,7
6066,4
6067,0
6068,9
6069,3
6070,4
6071,9
6072,4
6073,5
6074,0
6075,6
6076,0
6077,1
6078,5
6079,2
6080,7
6081,0
6082,8
6083,1
6084,0
6085,7
6086,1
6087,1
6088,3
6089,4
6090,7
6091,5
6092,4
6093,5
6094,4
6095,0
6096,8
6097,5
6098,0
6099,8
6100,8
6101,3
6102,8
6103,3
6104,6
6105,0
6106,6
6107,5
6108,2
6109,0
6110,4
6111,4
6112,2
6113,8
6114,2
6115,9
6116,3
6117,4
6118,5
6119,0
6120,7
6121,5
6122,8
6123,4
6124,3
6125,7
6126,8
6127,5
6128,3
6129,3
6130,2
6131,4
6132,9
6133,8
6134,2
6135,2
6136,2
6137,0
6138,2
6139,5
6140,3
6141,5
6142,6
6143,8
6144,9
6145,3
6146,0
6147,0
6148,2
6149,5
6150,3
6151,6
6152,4
6153,3
6154,5
6155,7
6156,3
6157,4
6158,8
6159,6
6160,4
6161,8
6162,4
6163,7
6164,9
6165,7
6166,8
6167,7
6168,7
6169,3
6170,7
6171,3
6172,1
6173,2
6174,6
6175,6
6176,2
6177,2
6178,3
6179,8
6180,4
6181,3
6182,7
6183,3
6184,0
6185,2
6186,6
6187,6
6188,4
6189,5
6190,4
6191,0
6192,1
6193,2
6194,8
6195,2
6196,9
6197,5
6198,5
6199,8
6200,4
6201,0
6202,6
6203,1
6204,7
6205,6
6206,5
6207,0
6208,4
6209,0
6210,8
6211,3
6212,5
6213,4
6214,0
6215,2
6216,8
6217,5
6218,2
6219,5
6220,0
6221,0
6222,2
6223,7
6224,5
6225,0
6226,6
6227,4
6228,2
6229,5
6230,3
6231,9
6232,6
6233,4
6234,4
6235,7
6236,0
6237,9
6238,7
6239,8
6240,4
6241,0
6242,3
6243,9
6244,9
6245,0
6246,9
6247,3
6248,6
6249,6
6250,1
6251,5
6252,1
6253,1
6254,8
6255,6
6256,1
6257,4
6258,7
6259,3
6260,4
6261,7
6262,0
6263,1
6264,6
