Id,Label
6001,2
6002,1
6003,6
6004,2
6005,0
6006,2
6007,1
6008,6
6009,3
6010,3
6011,1
6012,6
6013,5
6014,1
6015,6
6016,6
6017,3
6018,8
6019,3
6020,6
6021,6
6022,0
6023,8
6024,0
6025,9
6026,3
6027,2
6028,8
6029,5
6030,1
6031,3
6032,7
6033,1
6034,0
6035,0
6036,1
6037,0
6038,9
6039,0
6040,1
6041,7
6042,0
6043,8
6044,2
6045,7
6046,1
6047,5
6048,6
6049,1
6050,4
6051,8
6052,3
6053,8
6054,2
6055,4
6056,1
6057,5
6058,1
6059,3
6060,4
6061,0
6062,2
6063,9
6064,8
6065,3
6066,9
6067,1
6068,8
6069,2
6070,5
6071,8
6072,5
6073,0
6074,1
6075,7
6076,1
6077,2
6078,0
6079,9
6080,3
6081,1
6082,6
6083,4
6084,1
6085,3
6086,4
6087,4
6088,2
6089,5
6090,3
6091,0
6092,5
6093,0
6094,5
6095,1
6096,6
6097,0
6098,1
6099,6
6100,6
6101,2
6102,6
6103,0
6104,7
6105,1
6106,7
6107,0
6108,9
6109,1
6110,3
6111,5
6112,9
6113,6
6114,9
6115,8
6116,2
6117,5
6118,0
6119,1
6120,3
6121,0
6122,6
6123,5
6124,2
6125,3
6126,6
6127,0
6128,2
6129,2
6130,9
6131,5
6132,8
6133,6
6134,9
6135,9
6136,9
6137,1
6138,9
6139,0
6140,2
6141,0
6142,7
6143,6
6144,8
6145,2
6146,1
6147,1
6148,9
6149,0
6150,2
6151,7
6152,5
6153,2
6154,0
6155,3
6156,2
6157,5
6158,6
6159,7
6160,5
6161,7
6162,5
6163,3
6164,8
6165,3
6166,6
6167,3
6168,3
6169,2
6170,8
6171,2
6172,4
6173,9
6174,7
6175,7
6176,9
6177,9
6178,2
6179,6
6180,5
6181,2
6182,3
6183,2
6184,1
6185,9
6186,7
6187,7
6188,5
6189,0
6190,5
6191,1
6192,4
6193,9
6194,6
6195,9
6196,8
6197,0
6198,0
6199,6
6200,3
6201,1
6202,7
6203,4
6204,3
6205,7
6206,0
6207,1
6208,5
6209,1
6210,6
6211,2
6212,0
6213,5
6214,1
6215,9
6216,6
6217,0
6218,9
6219,0
6220,1
6221,1
6222,9
6223,3
6224,0
6225,1
6226,7
6227,5
6228,9
6229,0
6230,2
6231,8
6232,7
6233,5
6234,5
6235,3
6236,1
6237,8
6238,3
6239,6
6240,5
6241,1
6242,2
6243,8
6244,8
6245,1
6246,8
6247,2
6248,7
6249,7
6250,2
6251,0
6252,4
6253,4
6254,6
6255,7
6256,2
6257,5
6258,3
6259,2
6260,5
6261,3
6262,1
6263,4
6264,7
6265,1
6266,7
6267,6
6268,4
6269,8
6270,5
6271,0
6272,1
6273,9
6274,1
6275,7
6276,0
6277,1
6278,2
6279,8
6280,4
6281,3
6282,6
6283,7
6284,4
6285,8
6286,3
6287,9
6288,1
6289,2
6290,2
6291,5
6292,6
6293,9
6294,7
6295,1
6296,1
6297,1
6298,0
6299,3
6300,2
6301,6
6302,4
6303,6
6304,1
6305,3
6306,3
6307,1
6308,9
6309,4
6310,1
6311,6
6312,1
6313,9
6314,7
6315,0
6316,8
6317,2
6318,3
6319,4
6320,3
6321,4
6322,0
6323,9
6324,9
6325,4
6326,1
